Repository Name,Abbreviation, Repository URL,fairsharing  or re3data entry URL,Type of repository
Gene Expression Omnibus      ,GEO,http://www.ncbi.nlm.nih.gov/geo/,https://fairsharing.org/biodbcore-000441,Biological sciences: omics
GenomeRNAi                    ,,http://www.genomernai.org/,https://fairsharing.org/biodbcore-000164,Biological sciences: omics
Harvard Dataverse,,http://dataverse.harvard.edu,https://www.re3data.org/repository/r3d100010051,Social sciences
Harvard Dataverse,,http://dataverse.harvard.edu,https://www.re3data.org/repository/r3d100010051,General science
ImmPort,,www.immport.org,https://fairsharing.org/biodbcore-000660,Biological sciences: cytometry & immunology
Influenza Research Database                    ,,http://www.fludb.org/,https://fairsharing.org/biodbcore-000183,Biological sciences: organism-focused resources
IntAct                    ,,http://www.ebi.ac.uk/intact/,https://fairsharing.org/biodbcore-000054,Biological sciences: omics
Integrated Taxonomic Information System                    ,ITIS,http://www.itis.gov/,https://fairsharing.org/biodbcore-000597,Biological sciences: taxonomy & species diversity
Japanese Genotype-phenotype Archive,JGA,http://trace.ddbj.nig.ac.jp/jga/index_e.html,https://fairsharing.org/biodbcore-000774,Biological sciences: omics
Kinetic Models of Biological Systems,KiMoSys,http://www.kimosys.org/,https://fairsharing.org/biodbcore-000631,Biological sciences:  mathematical & modelling resources
KNB: The Knowledge Network for Biocomplexity                    ,KNB,https://knb.ecoinformatics.org/,https://fairsharing.org/biodbcore-000629,Biological sciences: taxonomy & species diversity
Marine Geosciences Data System,MGDS,http://www.marine-geo.org/index.php,https://www.re3data.org/repository/r3d100010273,Earth and environmental sciences
MetaboLights,,http://www.ebi.ac.uk/metabolights/,https://fairsharing.org/biodbcore-000168,Biological sciences: omics
MorphoBank.org,,http://www.morphobank.org/,https://fairsharing.org/biodbcore-000851,Biological sciences: taxonomy & species diversity
Mouse Genome Informatics                ,MGI,http://www.informatics.jax.org/,https://fairsharing.org/biodbcore-000421,Biological sciences: organism-focused resources
NASA Goddard Earth Sciences Data and Information Services Center ,GES DISC,http://disc.gsfc.nasa.gov/,,Earth and environmental sciences
National Addiction & HIV Data Archive Program  ,NAHDAP,http://www.icpsr.umich.edu/icpsrweb/NAHDAP/index.jsp,https://fairsharing.org/biodbcore-000482,Health sciences
National Database for Autism Research,NDAR,http://ndar.nih.gov/,https://fairsharing.org/biodbcore-000491,Health sciences
National Database for Clinical Trials related to Mental Illness,NDCT,http://ndct.nimh.nih.gov/,,Health sciences
NCBI Assembly,,http://www.ncbi.nlm.nih.gov/assembly,,Biological sciences: nucleic acid sequence
NCBI PubChem BioAssay,,http://pubchem.ncbi.nlm.nih.gov/,https://fairsharing.org/biodbcore-000455,Biological sciences: omics
NCBI PubChem BioAssay,,http://pubchem.ncbi.nlm.nih.gov/,https://fairsharing.org/biodbcore-000455,Chemistry & chemical biology
NCBI PubChem Substance,,http://pubchem.ncbi.nlm.nih.gov/,https://fairsharing.org/biodbcore-000455,Chemistry & chemical biology
NCBI Sequence Read Archive,SRA,http://www.ncbi.nlm.nih.gov/sra,https://fairsharing.org/biodbcore-000444,Biological sciences: nucleic acid sequence
NCBI Taxonomy                    ,,http://www.ncbi.nlm.nih.gov/taxonomy,https://fairsharing.org/bsg-000154,Biological sciences: taxonomy & species diversity
NCBI Trace Archive,,http://www.ncbi.nlm.nih.gov/Traces/home/,https://fairsharing.org/biodbcore-000636,Biological sciences: nucleic acid sequence
NERC Data Centres                    ,NERC,http://www.nerc.ac.uk/research/sites/data/,https://www.re3data.org/repository/r3d100010558,Earth and environmental sciences
NeuroMorpho.org                    ,,http://neuromorpho.org/neuroMorpho/index.jsp,https://fairsharing.org/biodbcore-000410,Biological sciences: neuroscience
NOAA National Centers for Environmental Information,NCEI,http://www.ncei.noaa.gov/,https://www.re3data.org/repository/r3d100010286,Earth and environmental sciences
NoMaD Repository,NoMaD,http://nomad-repository.eu/,https://www.re3data.org/repository/r3d100011583,"Physics, astrophysics & astronomy"
Oak Ridge National Laboratory Distributed Active Archive Center                    ,ORNL DAAC,http://daac.ornl.gov/,https://www.re3data.org/repository/r3d100000037,Earth and environmental sciences
Open Science Framework,OSF,https://osf.io/,https://fairsharing.org/biodbcore-000655,Social sciences
Open Science Framework,OSF,https://osf.io/,https://fairsharing.org/biodbcore-000655,General science
OpenfMRI                    ,,http://openfmri.org/,https://fairsharing.org/biodbcore-000620,Biological sciences: neuroscience
openICSPR,,https://www.openicpsr.org/,https://www.re3data.org/repository/r3d100010255,Social sciences
PANGAEA                    ,,http://www.pangaea.de/,https://www.re3data.org/repository/r3d100010134,Earth and environmental sciences
PeptideAtlas                                                                                ,,http://www.peptideatlas.org/,https://fairsharing.org/biodbcore-000392,Biological sciences: omics
PhysioNet,,http://physionet.org/,https://fairsharing.org/biodbcore-000488,Health sciences
PRIDE  Archive                                                                              ,,http://www.ebi.ac.uk/pride/,https://fairsharing.org/biodbcore-000325,Biological sciences: omics
Protein Circular Dichroism Data Bank,PCDDB,http://pcddb.cryst.bbk.ac.uk/,https://fairsharing.org/biodbcore-000613,Biological sciences: molecular & supramolecular structure
Rat Genome Database                 ,RGD,http://rgd.mcw.edu/,https://fairsharing.org/biodbcore-000417,Biological sciences: organism-focused resources
Reaction Database Standard Search Interface                                    ,,http://durpdg.dur.ac.uk/HEPDATA/REAC,https://www.re3data.org/repository/r3d100010081,"Physics, astrophysics & astronomy"
Research Domain Criteria Database,RDoCdb,http://rdocdb.nimh.nih.gov/,,Health sciences
SEANOE,,http://www.seanoe.org,https://fairsharing.org/biodbcore-000705,Earth and environmental sciences
SICAS Medical Image Repository (formally Virtual Skeleton Database),SMIR,https://www.smir.ch/,https://fairsharing.org/biodbcore-000658,Health sciences
SIMBAD Astronomical Database                                    ,,http://simbad.u-strasbg.fr/simbad/,https://www.re3data.org/repository/r3d100010163,"Physics, astrophysics & astronomy"
Structural Biology Data Grid,SBGrid,https://data.sbgrid.org/,https://fairsharing.org/biodbcore-000683,Biological sciences: molecular & supramolecular structure
The Cancer Imaging Archive                    ,,http://www.cancerimagingarchive.net/,https://fairsharing.org/biodbcore-000532,Health sciences
The European Genome-phenome Archive     ,EGA,https://ega-archive.org/,https://fairsharing.org/biodbcore-000328,Biological sciences: omics
The Global Biodiversity Information Facility,GBIF,http://www.gbif.org/,https://fairsharing.org/biodbcore-000635,Biological sciences: taxonomy & species diversity
The Network Data Exchange (NDEx),NDEx,www.ndexbio.org,https://fairsharing.org/biodbcore-001016,Biological sciences: mathematical & modelling resources
UK Data Service - ReShare,,http://reshare.ukdataservice.ac.uk/,https://www.re3data.org/repository/r3d100010230,Social sciences
UK Solar System Data Centre            ,,http://www.ukssdc.ac.uk/,https://www.re3data.org/repository/r3d100010714,"Physics, astrophysics & astronomy"
"UNAVCO, Inc.",UNAVCO,http://www.unavco.org/data/data.html,https://www.re3data.org/repository/r3d100010872,Earth and environmental sciences
UniProtKB,,http://www.uniprot.org,https://fairsharing.org/biodbcore-000544,Biological sciences: protein sequence
VectorBase                    ,,http://www.vectorbase.org/index.php,https://fairsharing.org/biodbcore-000588,Biological sciences: organism-focused resources
World Data Center for Climate at DRKZ,WDCC,http://www.wdc-climate.de/,https://www.re3data.org/repository/r3d100010299,Earth and environmental sciences
Worldwide Protein Data Bank ,wwPDB,http://wwpdb.org/,https://fairsharing.org/biodbcore-000511,Biological sciences: molecular & supramolecular structure
Xenbase                    ,,http://www.xenbase.org/common/,https://fairsharing.org/biodbcore-000556,Biological sciences: organism-focused resources
Zebrafish Model Organism Database                    ,ZFIN,http://zfin.org/,https://fairsharing.org/biodbcore-000575,Biological sciences: organism-focused resources
Zenodo,,https://zenodo.org/,https://www.re3data.org/repository/r3d100010468,General science
